title,studio,domestic_gross_x,foreign_gross,year,id_x,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,Unnamed: 0,genre_ids,id_y,original_language,original_title,popularity,vote_average,vote_count
The Spy Next Door,LGF,24300000,20900000,2010,68,1/15/2010,The Spy Next Door,"$28,000,000 ","$24,307,106 ","$46,752,858 ",107,"[28, 35, 10751]",23172,en,The Spy Next Door,10.746,5.7,650
Machete,Fox,26600000,17500000,2010,18,9/3/2010,Machete,"$12,500,000 ","$26,593,646 ","$46,370,970 ",69,"[28, 35, 53]",23631,en,Machete,12.557,6.3,1862
Going the Distance,WB (NL),17800000,24200000,2010,11,9/3/2010,Going the Distance,"$32,000,000 ","$17,804,299 ","$43,603,990 ",220,"[35, 18, 10749]",38073,en,Going the Distance,8.281,6,394
For Colored Girls,LGF,37700000,17300,2010,67,11/5/2010,For Colored Girls,"$21,000,000 ","$37,729,698 ","$38,017,873 ",635,[18],44944,en,For Colored Girls,2.858,6.8,33
The Kids Are All Right,Focus,20800000,13900000,2010,87,7/9/2010,The Kids Are All Right,"$4,000,000 ","$20,811,365 ","$36,275,469 ",211,"[35, 18]",39781,en,The Kids Are All Right,8.426,6.6,854
Leap Year,Uni.,25900000,6700000,2010,40,1/8/2010,Leap Year,"$19,000,000 ","$25,918,920 ","$32,618,920 ",85,"[10749, 35]",25195,en,Leap Year,11.821,6.7,990
You Again,BV,25700000,6300000,2010,78,9/24/2010,You Again,"$20,000,000 ","$25,702,053 ","$32,838,945 ",124,"[35, 10749]",38303,en,You Again,10.208,6.2,734
The Losers,WB,23600000,5800000,2010,44,4/23/2010,The Losers,"$25,000,000 ","$23,591,432 ","$29,863,840 ",126,"[28, 12, 80, 9648, 53]",34813,en,The Losers,10.202,6.2,844
Ramona and Beezus,Fox,26200000,1100000,2010,60,7/23/2010,Ramona and Beezus,"$15,000,000 ","$26,167,002 ","$27,469,621 ",283,"[35, 10751]",38843,en,Ramona and Beezus,7.442,6.3,460
Let Me In,Over.,12100000,12000000,2010,38,10/1/2010,Let Me In,"$20,000,000 ","$12,134,935 ","$28,270,399 ",146,"[18, 27, 9648]",41402,en,Let Me In,9.716,6.7,1061
Mao's Last Dancer,Gold.,4800000,17500000,2010,31,8/20/2010,Mao's Last Dancer,"$18,000,000 ","$4,806,750 ","$25,941,437 ",673,"[18, 10749]",33870,en,Mao's Last Dancer,2.681,7,45
Just Wright,FoxS,21500000,29900,2010,85,5/14/2010,Just Wright,"$12,000,000 ","$21,540,363 ","$21,867,665 ",312,"[35, 18, 10749]",38093,en,Just Wright,7.047,6.2,211
Our Family Wedding,FoxS,20300000,1200000,2010,95,3/12/2010,Our Family Wedding,"$14,000,000 ","$20,255,281 ","$21,410,546 ",446,[35],34563,en,Our Family Wedding,5.025,5.5,57
My Soul to Take,Uni.,14700000,6200000,2010,68,10/8/2010,My Soul to Take,"$25,000,000 ","$14,744,435 ","$16,727,470 ",143,"[18, 27, 9648, 53]",43931,en,My Soul to Take,9.808,5.4,247
Country Strong,SGem,20200000,310000,2010,71,12/22/2010,Country Strong,"$15,000,000 ","$20,218,921 ","$20,601,987 ",277,"[18, 10749, 10402]",45272,en,Country Strong,7.567,6.3,126
Another Year,SPC,3200000,16500000,2010,8,12/29/2010,Another Year,"$8,000,000 ","$3,205,706 ","$20,005,613 ",161,"[35, 18]",44009,en,Another Year,9.394,7,150
